file,status
__init__.py,keep_active
adaptive_range_short.py,archive_candidate
bounce_bt.py,archive_candidate
bounce_bt_v2.py,archive_candidate
btc_eth_midterm_pullback.py,keep_active
btc_eth_trend_follow.py,archive_candidate
btc_eth_trend_follow_v2.py,archive_candidate
btc_eth_trend_rsi_reentry.py,archive_candidate
btc_eth_vol_expansion.py,archive_candidate
donchian_breakout.py,archive_candidate
flat_bounce_v2.py,archive_candidate
flat_bounce_v3.py,archive_candidate
funding_hold_v1.py,archive_candidate
inplay_breakout.py,keep_active
inplay_pullback.py,archive_candidate
inplay_wrapper.py,archive_candidate
momentum_continuation.py,archive_candidate
pump_fade.py,archive_candidate
range_bounce.py,archive_candidate
range_wrapper.py,archive_candidate
retest_backtest.py,archive_candidate
signals.py,keep_active
smart_grid.py,archive_candidate
sr_break_retest_volume_v1.py,archive_candidate
structure_shift_v1.py,archive_candidate
structure_shift_v2.py,archive_candidate
trend_pullback.py,archive_candidate
trend_pullback_be_trail.py,archive_candidate
trend_regime_breakout.py,archive_candidate
trendline_break_retest.py,archive_candidate
trendline_break_retest_v2.py,archive_candidate
trendline_break_retest_v3.py,archive_candidate
trendline_break_retest_v4.py,archive_candidate
triple_screen_v132.py,archive_candidate
triple_screen_v132b.py,archive_candidate
tv_atr_trend_v1.py,archive_candidate
tv_atr_trend_v2.py,archive_candidate
vol_breakout.py,archive_candidate
